		sim
321	original_firstorder_Entropy	original_glszm_LargeAreaLowGrayLevelEmphasis	0.179487179487179
322	original_firstorder_Entropy	original_glszm_LowGrayLevelZoneEmphasis	0.358974358974359
323	original_firstorder_Entropy	original_glszm_SizeZoneNonUniformity	0.294871794871795
324	original_firstorder_Entropy	original_glszm_SizeZoneNonUniformityNormalized	0.0769230769230769
325	original_firstorder_Entropy	original_glszm_SmallAreaEmphasis	0.179487179487179
326	original_firstorder_Entropy	original_glszm_SmallAreaHighGrayLevelEmphasis	0.243589743589744
327	original_firstorder_Entropy	original_glszm_SmallAreaLowGrayLevelEmphasis	0.243589743589744
328	original_firstorder_Entropy	original_glszm_ZoneEntropy	0.512820512820513
329	original_firstorder_Entropy	original_glszm_ZonePercentage	0.448717948717949
330	original_firstorder_Entropy	original_glszm_ZoneVariance	0.371794871794872
331	original_firstorder_Entropy	original_gldm_DependenceEntropy	0.320512820512821
332	original_firstorder_Entropy	original_gldm_DependenceNonUniformity	0.269230769230769
333	original_firstorder_Entropy	original_gldm_DependenceNonUniformityNormalized	0.512820512820513
334	original_firstorder_Entropy	original_gldm_DependenceVariance	0.397435897435897
335	original_firstorder_Entropy	original_gldm_GrayLevelNonUniformity	0.384615384615385
336	original_firstorder_Entropy	original_gldm_GrayLevelVariance	0.115384615384615
337	original_firstorder_Entropy	original_gldm_HighGrayLevelEmphasis	0.538461538461538
338	original_firstorder_Entropy	original_gldm_LargeDependenceEmphasis	0.166666666666667
339	original_firstorder_Entropy	original_gldm_LargeDependenceHighGrayLevelEmphasis	0.243589743589744
340	original_firstorder_Entropy	original_gldm_LargeDependenceLowGrayLevelEmphasis	0.166666666666667
341	original_firstorder_Entropy	original_gldm_LowGrayLevelEmphasis	0.358974358974359
342	original_firstorder_Entropy	original_gldm_SmallDependenceEmphasis	0.333333333333333
343	original_firstorder_Entropy	original_gldm_SmallDependenceHighGrayLevelEmphasis	0.0512820512820513
344	original_firstorder_Entropy	original_gldm_SmallDependenceLowGrayLevelEmphasis	0.512820512820513
345	original_firstorder_InterquartileRange	original_firstorder_10Percentile	0.0833333333333333
346	original_firstorder_InterquartileRange	original_firstorder_90Percentile	0.305084745762712
347	original_firstorder_InterquartileRange	original_firstorder_Energy	0.474576271186441
348	original_firstorder_InterquartileRange	original_firstorder_Entropy	0.254237288135593
349	original_firstorder_InterquartileRange	original_firstorder_InterquartileRange	1
350	original_firstorder_InterquartileRange	original_firstorder_Kurtosis	0.271186440677966
351	original_firstorder_InterquartileRange	original_firstorder_Maximum	0.372881355932203
352	original_firstorder_InterquartileRange	original_firstorder_MeanAbsoluteDeviation	0.610169491525424
353	original_firstorder_InterquartileRange	original_firstorder_Mean	0.307692307692308
354	original_firstorder_InterquartileRange	original_firstorder_Median	0.0465116279069767
355	original_firstorder_InterquartileRange	original_firstorder_Minimum	0.152542372881356
356	original_firstorder_InterquartileRange	original_firstorder_Range	0.508474576271186
357	original_firstorder_InterquartileRange	original_firstorder_RobustMeanAbsoluteDeviation	0.361702127659574
